Stock_,Open,High,Low,Close,Adj Close,Volume,Stock_Name
2/2/2018,272.149994,279.450012,267.119995,273.480011,273.480011,760600,ANET
2/5/2018,265.51001,279.890015,262.51001,265.369995,265.369995,1216600,ANET
2/6/2018,253.330002,274.309998,250.410004,272.380005,272.380005,1004200,ANET
2/7/2018,277.98999,289.069,275.040009,281.619995,281.619995,1156500,ANET
2/8/2018,285.01001,285.13501,264.380005,264.519989,264.519989,1152900,ANET
2/9/2018,269.570007,274.94101,258.057007,272.549988,272.549988,1149800,ANET
2/12/2018,278.149994,287.171997,277.621002,284.540009,284.540009,1270400,ANET
2/13/2018,285,292.726013,284.079987,292.579987,292.579987,1017000,ANET
2/14/2018,291,305.440002,290.959991,302.119995,302.119995,1471900,ANET
2/15/2018,306,311.670013,295.354004,307.959991,307.959991,2895800,ANET
2/16/2018,258,269,247.520004,249.490005,249.490005,8854700,ANET
2/20/2018,248,253.279999,246.110001,249.649994,249.649994,2255100,ANET
2/21/2018,249,250.559998,235.820007,238.029999,238.029999,2991500,ANET
2/22/2018,240,245.429993,239.240005,244.660004,244.660004,1600000,ANET
2/23/2018,246.350006,249.490005,240.339996,245.919998,245.919998,1302200,ANET
2/26/2018,247.570007,260,246.774994,259.850006,259.850006,1690100,ANET
2/27/2018,260,263.959991,255.75,259.140015,259.140015,1412900,ANET
2/28/2018,260,273.579987,260,269.73999,269.73999,2141100,ANET
3/1/2018,270.640015,272.399994,258.309998,263.799988,263.799988,1614600,ANET
3/2/2018,257.859985,271.950012,254.210007,271.5,271.5,1415200,ANET
3/5/2018,270,285.940002,267.299988,281.859985,281.859985,2054300,ANET
3/6/2018,283,292.5,283,288.600006,288.600006,1812600,ANET
3/7/2018,285.5,293.519989,285,291.579987,291.579987,1242200,ANET
3/8/2018,292.519989,296.859009,288,293.769989,293.769989,1110600,ANET
3/9/2018,295.109985,298,293.812012,295.149994,295.149994,922500,ANET
3/12/2018,296.690002,301.309998,295.160004,297.399994,297.399994,1207200,ANET
3/13/2018,297.880005,299.519989,288.320007,289.679993,289.679993,1199200,ANET
3/14/2018,290,299.480011,288.790009,298.5,298.5,1390900,ANET
3/15/2018,298,298.730011,293.019989,295.899994,295.899994,888200,ANET
3/16/2018,296.390015,296.945007,291.980011,293.720001,293.720001,766200,ANET
3/19/2018,276.309998,283.5,272.25,277.390015,277.390015,1893200,ANET
3/20/2018,279.540009,288.649994,278.910004,285.420013,285.420013,1148700,ANET
3/21/2018,285.200012,286.410004,281.170013,282.700012,282.700012,615600,ANET
3/22/2018,278.100006,281.899994,273,273.73999,273.73999,934800,ANET
3/23/2018,274.109985,275.778992,262.109985,264.209991,264.209991,1226000,ANET
3/26/2018,271.01001,273.019989,262.321014,270.980011,270.980011,1042900,ANET
3/27/2018,272.940002,274.950012,252.550995,253.699997,253.699997,1400700,ANET
3/28/2018,252.110001,253.188995,243.169998,245.139999,245.139999,1785300,ANET
3/29/2018,248.009995,258.5,244.470001,255.300003,255.300003,1250100,ANET
4/2/2018,253.460007,259.160004,248.718994,253.509995,253.509995,1060300,ANET
4/3/2018,256.5,257.399994,250.039993,253.509995,253.509995,974300,ANET
4/4/2018,246.279999,259.690002,245.100006,258.959991,258.959991,846500,ANET
4/5/2018,262.869995,271.440002,261.100006,262.73999,262.73999,1168200,ANET
4/6/2018,257.690002,261.98999,256.070007,258.720001,258.720001,827100,ANET
4/9/2018,262.549988,266.100006,259.5,259.5,259.5,551500,ANET
4/10/2018,265.269989,268.850006,263.380005,267.190002,267.190002,735200,ANET
4/11/2018,265.279999,269.529999,265.279999,266.579987,266.579987,503600,ANET
4/12/2018,268,272.100006,267.98999,268.890015,268.890015,632400,ANET
4/13/2018,258.019989,258.338989,241.320007,244.199997,244.199997,2805000,ANET
4/16/2018,246.649994,247.692993,238.699997,239.440002,239.440002,1526600,ANET
4/17/2018,241,258.600006,240.550003,256.799988,256.799988,2038700,ANET
4/18/2018,256.23999,259.190002,249.630005,258.5,258.5,730200,ANET
4/19/2018,255.669998,257.459991,250.710007,256.369995,256.369995,729900,ANET
4/20/2018,257.279999,263.399994,255.470001,260.649994,260.649994,658300,ANET
4/23/2018,261.980011,261.980011,252.009995,254.179993,254.179993,695700,ANET
4/24/2018,257.98999,264,248.600006,252.059998,252.059998,965100,ANET
4/25/2018,251.490005,256.220001,247.207993,253.020004,253.020004,646300,ANET
4/26/2018,255.570007,259.779999,255.039993,259.51001,259.51001,559200,ANET
4/27/2018,262.619995,266.649994,259.98999,262.75,262.75,721900,ANET
4/30/2018,264.179993,267.480011,261.309998,264.549988,264.549988,834600,ANET
5/1/2018,264.549988,265.359985,260.529999,265.269989,265.269989,679300,ANET
5/2/2018,267.480011,272.540009,265.410004,265.459991,265.459991,891100,ANET
5/3/2018,262.329987,270.75,260.220001,267.850006,267.850006,1187800,ANET
5/4/2018,243.899994,248.990005,235.240005,245.050003,245.050003,3386600,ANET
5/7/2018,247.100006,254.820007,245.429993,252.360001,252.360001,1636800,ANET
5/8/2018,251.169998,260.529999,251.130005,259.290009,259.290009,1140700,ANET
5/9/2018,260.420013,261.100006,256.559998,259.420013,259.420013,870500,ANET
5/10/2018,259.799988,262.190002,259,260.660004,260.660004,1223500,ANET
5/11/2018,260,260.799988,256.01001,259.910004,259.910004,586700,ANET
5/14/2018,258.410004,260.5,252.679993,253.520004,253.520004,1057000,ANET
5/15/2018,251.339996,253.440002,248.25,249.550003,249.550003,735200,ANET
5/16/2018,249.240005,250.813995,246.600006,249.130005,249.130005,629100,ANET
5/17/2018,248,249.130005,243.619995,247.470001,247.470001,1338200,ANET
5/18/2018,248,250.080002,247.335007,248.089996,248.089996,481300,ANET
5/21/2018,249.740005,255.800003,249.740005,254.25,254.25,934500,ANET
5/22/2018,253.100006,257.100006,249.5,249.619995,249.619995,804200,ANET
5/23/2018,248.720001,256.13501,248,255.979996,255.979996,675000,ANET
5/24/2018,255.779999,255.779999,250.050003,252.610001,252.610001,512600,ANET
5/25/2018,253.440002,256.899994,252.600998,255.75,255.75,531200,ANET
5/29/2018,254,259.5,253.240005,255.860001,255.860001,1068800,ANET
5/30/2018,256.399994,257.5,251.451004,251.649994,251.649994,892000,ANET
